name,continent,capital,largestcity,currency,language,population,landarea,agriculturearea,forestarea,co2emissions,image
Croatia,Europe,Zagreb,Zagreb,HRK,Croatian,"4,067,500","56,594",27.60%,34.40%,"17,488",https://images.unsplash.com/photo-1454452176678-c0437432bba6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDcm9hdGlhfGVufDB8fHx8MTcyOTQyNzc5OHww&ixlib=rb-4.0.3&q=80&w=1080
Cuba,North America,Havana,Havana,CUP,Spanish,"11,333,483","110,860",59.90%,31.30%,"28,284",https://images.unsplash.com/photo-1530779189757-4a7734852dfd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDdWJhfGVufDB8fHx8MTcyOTQyNzc5OHww&ixlib=rb-4.0.3&q=80&w=1080
Cyprus,Europe,Nicosia,Statos�������,EUR,Greek,"1,198,575","9,251",12.20%,18.70%,"6,626",https://images.unsplash.com/photo-1468649437954-f86751c119b6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDeXBydXN8ZW58MHx8fHwxNzI5NDI3Nzk4fDA&ixlib=rb-4.0.3&q=80&w=1080
Denmark,Europe,Copenhagen,Copenhagen,DKK,Danish,"5,818,553","43,094",62.00%,14.70%,"31,786",https://images.unsplash.com/photo-1513622470522-26c3c8a854bc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxEZW5tYXJrfGVufDB8fHx8MTcyOTQyNzc5OXww&ixlib=rb-4.0.3&q=80&w=1080
Djibouti,Africa,Djibouti City,Djibouti City,DJF,French,"973,560","23,200",73.40%,0.20%,620,https://images.unsplash.com/photo-1659947446191-e8c8073130ef?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxEamlib3V0aXxlbnwwfHx8fDE3Mjk0Mjc3OTl8MA&ixlib=rb-4.0.3&q=80&w=1080
Dominica,North America,Roseau,Roseau,XCD,English,"71,808",751,33.30%,57.40%,180,https://images.unsplash.com/photo-1583237559159-4d28695f4da3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxEb21pbmljYXxlbnwwfHx8fDE3Mjk0Mjc3OTl8MA&ixlib=rb-4.0.3&q=80&w=1080
Dominican Republic,North America,Santo Domingo,Santo Domingo,DOP,Spanish,"10,738,958","48,670",48.70%,41.70%,"25,258",https://images.unsplash.com/photo-1663308417909-0e3ed78f868f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxEb21pbmljYW4lMjBSZXB1YmxpY3xlbnwwfHx8fDE3Mjk0Mjc3OTl8MA&ixlib=rb-4.0.3&q=80&w=1080
Ecuador,South America,Quito,Quito,USD,Spanish,"17,373,662","283,561",22.20%,50.20%,"41,155",https://images.unsplash.com/photo-1504038154755-752b537dddd0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxFY3VhZG9yfGVufDB8fHx8MTcyOTQyNzgwMHww&ixlib=rb-4.0.3&q=80&w=1080
Egypt,Africa,Cairo,Cairo,EGP,Modern Standard Arabic,"100,388,073","1,001,450",3.80%,0.10%,"238,560",https://images.unsplash.com/photo-1539768942893-daf53e448371?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxFZ3lwdHxlbnwwfHx8fDE3Mjk0Mjc4MDB8MA&ixlib=rb-4.0.3&q=80&w=1080
El Salvador,North America,San Salvador,San Salvador,,Spanish,"6,453,553","21,041",76.40%,12.60%,"7,169",https://images.unsplash.com/photo-1675229165215-339f564d86d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxFbCUyMFNhbHZhZG9yfGVufDB8fHx8MTcyOTQyNzgwMHww&ixlib=rb-4.0.3&q=80&w=1080
Equatorial Guinea,Africa,Malabo,Malabo,XAF,Spanish,"1,355,986","28,051",10.10%,55.50%,"5,655",https://images.unsplash.com/photo-1663296160051-ffbe378faedf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxFcXVhdG9yaWFsJTIwR3VpbmVhfGVufDB8fHx8MTcyOTQyNzgwMHww&ixlib=rb-4.0.3&q=80&w=1080
Eritrea,Africa,Asmara,Asmara,ERN,Tigrinya,"6,333,135","117,600",75.20%,14.90%,711,https://images.unsplash.com/photo-1712061377070-2800c603c402?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxFcml0cmVhfGVufDB8fHx8MTcyOTQyNzgwMXww&ixlib=rb-4.0.3&q=80&w=1080
